,location,size,total_sqft,bath,balcony,price
5889,Hebbal,2 BHK,1200.0,2.0,1.0,49.0
5890,Kengeri Satellite Town,1 BHK,654.0,1.0,1.0,22.0
5891,Peenya,2 BHK,708.0,1.0,1.0,55.0
5892,Singapura Village,4 Bedroom,600.0,5.0,3.0,75.0
5893,Wilson Garden,3 BHK,1680.0,3.0,3.0,135.0
5894,Jakkasandra Extension,2 BHK,990.0,2.0,2.0,58.0
5895,Uttarahalli,2 BHK,1380.0,2.0,1.0,42.0
5896,Hebbal,2 BHK,1088.0,2.0,2.0,62.0
5897,Harlur,3 BHK,1414.0,3.0,2.0,77.5
5898,Seshadripuram,2 BHK,1240.0,2.0,1.0,100.0
5899,Ganesha Block,3 BHK,1810.0,3.0,3.0,118.0
5900,4th Block Jayanagar,3 BHK,2005.0,3.0,2.0,240.0
5901,Kothanur,2 BHK,1185.0,2.0,2.0,58.0
5902,Whitefield,3 Bedroom,1200.0,3.0,2.0,57.15
5903,Electronic City,2 BHK,1070.0,2.0,1.0,52.0
5904,Shikaripalya,2 BHK,1265.0,2.0,1.0,58.0
5905,Sahakara Nagar,2 BHK,1100.0,2.0,1.0,55.0
5906,Friends Colony,2 BHK,1035.0,2.0,2.0,44.0
5907,Sonnenahalli,1 BHK,605.0,1.0,0.0,30.715
5908,2nd Block Jayanagar,2 BHK,1000.0,2.0,1.0,97.0
5909,Hegde Nagar,2 BHK,1179.0,2.0,2.0,49.35
5910,Vittasandra,3 BHK,1650.0,3.0,1.0,84.0
5911,Malur Hosur Road,6 Bedroom,2800.0,4.0,3.0,100.0
5912,Lakshmipura Vidyaanyapura,8 Bedroom,3500.0,6.0,2.0,120.0
5913,Nagaraja Garden,3 BHK,1430.0,3.0,1.0,78.65
5914,Marathahalli,3 BHK,1130.0,2.0,2.0,58.0
5915,JP Nagar,3 BHK,1850.0,2.0,3.0,110.0
5916,Hennur,3 BHK,1340.0,3.0,2.0,54.24
5917,Sarjapur  Road,4 BHK,4260.0,788.0,3.0,338.0
5918,Nagawara Junction,2 Bedroom,600.0,2.0,0.0,30.0
5919,Banashankari,3 BHK,2582.0,5.0,2.0,250.0
5920,Channasandra,2 BHK,1160.0,2.0,1.0,55.0
5921,Hegganahalli,1 Bedroom,1200.0,2.0,1.0,45.0
5922,Rajanna Layout,2 BHK,1116.0,2.0,1.0,37.6
5923,Nagarbhavi  BDA Complex,3 Bedroom,600.0,2.0,1.0,85.0
5924,Sarakki Nagar,3 BHK,2663.0,4.0,1.0,338.0
5925,Devasthanagalu,2 BHK,1090.0,2.0,2.0,45.0
5926,JP Nagar,2 BHK,1100.0,2.0,1.0,45.0
5927,Kammasandra,3 BHK,1365.0,2.0,1.0,34.13
5928,Vijayanagar,3 BHK,1484.0,3.0,2.0,79.19
5929,Green Glen Layout,3 BHK,1630.0,3.0,2.0,68.0
5930,Whitefield,3 BHK,1451.0,2.0,2.0,52.43
5931,Kanakpura Road,2 BHK,1330.0,2.0,1.0,107.0
5932,Thanisandra,3 BHK,2127.0,3.0,2.0,135.0
5933,Adityanagar,5 Bedroom,875.0,5.0,3.0,120.0
5934,Hallehalli,4 Bedroom,1260.0,4.0,2.0,65.0
5935,Sarjapur  Road,3 BHK,1173.0,2.0,2.0,45.75
5936,Electronics City Phase 1,3 BHK,1445.0,2.0,1.0,56.0
5937,Jayamahal Extension,4 BHK,2250.0,4.0,1.0,400.0
5938,Bannerghatta Road,3 Bedroom,1500.0,4.0,2.0,239.0
5939,Thanisandra,3 BHK,1349.0,3.0,0.0,115.89
5940,JP Nagar,2 BHK,1197.0,2.0,1.0,47.88
5941,2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,1.0,225.0
5942,Sarjapur  Road,5 BHK,3930.0,7.0,3.0,329.0
5943,Kanakpura Road,3 BHK,1450.0,3.0,3.0,62.4
5944,Whitefield,2 BHK,1187.0,2.0,1.0,37.85
5945,Wilson Garden,6 Bedroom,4000.0,6.0,3.0,850.0
5946,Channasandra,2 BHK,1050.0,2.0,2.0,41.0
5947,Panathur,3 BHK,1370.0,2.0,2.0,54.8
5948,Yelahanka,2 BHK,1036.0,2.0,2.0,39.37
5949,JP Nagar,3 BHK,1275.0,3.0,2.0,41.2
5950,Old Madras Road,4 BHK,2010.0,3.0,2.0,115.0
5951,Thigalarapalya,2 BHK,1418.0,2.0,2.0,106.0
5952,Thanisandra,2 BHK,1265.0,2.0,2.0,46.6
5953,Anandapura,3 BHK,1576.0,3.0,2.0,58.0
5954,Dodda Nekkundi,2 BHK,1148.0,2.0,1.0,56.0
5955,Green View Layout,2 BHK,1000.0,2.0,1.0,36.0
5956,Kudlu,3 BHK,1293.0,2.0,2.0,85.0
5957,TC Palaya,3 Bedroom,1200.0,2.0,0.0,66.0
5958,Munnekollal,2 BHK,1210.0,2.0,3.0,75.0
5959,HSR Layout,2 BHK,1126.0,2.0,1.0,69.0
5960,Sarakki Nagar,3 BHK,1840.0,4.0,1.0,175.0
5961,Vidyaranyapura,3 BHK,1440.0,2.0,0.0,70.0
5962,Ramamurthy Nagar,3 BHK,1300.0,2.0,2.0,52.0
5963,Thanisandra,2 BHK,1276.0,2.0,2.0,75.0
5964,Gidada Konnenahalli,6 Bedroom,600.0,4.0,2.0,105.0
5965,Whitefield,2 BHK,1216.0,2.0,1.0,83.0
5966,Marenahalli,1 BHK,840.0,1.0,0.0,75.0
5967,Sector 1 HSR Layout,5 Bedroom,1240.0,5.0,3.0,300.0
5968,Sompura,2 BHK,1126.0,2.0,2.0,39.0
5969,Mysore Road,1 Bedroom,45.0,1.0,0.0,23.0
5970,Raja Rajeshwari Nagar,2 BHK,1162.0,2.0,0.0,65.0
5971,Whitefield,2 BHK,1301.0,2.0,2.0,65.0
5972,Devanahalli,1 BHK,658.0,1.0,1.0,34.0
5973,Sahakara Nagar,3 Bedroom,1350.0,3.0,1.0,250.0
5974,Whitefield,3 BHK,2500.0,3.0,2.0,280.0
5975,1st Phase JP Nagar,1 BHK,78.03,1.0,1.0,63.0
5976,Chandapura,3 BHK,1208.51,3.0,2.0,42.0
5977,Raja Rajeshwari Nagar,2 BHK,1133.0,2.0,2.0,38.41
5978,Shettigere,3 BHK,1760.0,2.0,1.0,116.0
5979,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,52.0
5980,Sarjapur,2 BHK,940.0,2.0,1.0,25.38
5981,Badavala Nagar,2 BHK,1145.0,2.0,2.0,57.0
5982,Bannerghatta Road,2 BHK,1255.0,2.0,0.0,67.73
5983,Rahat Bagh,4 Bedroom,3900.0,5.0,1.0,550.0
5984,Omarbagh Layout,4 BHK,3300.0,5.0,0.0,268.5
5985,Dasarahalli,2 BHK,1300.0,2.0,2.0,50.0
5986,Malleshwaram,3 BHK,2475.0,4.0,3.0,326.0
5987,6th Phase JP Nagar,3 BHK,2040.0,3.0,3.0,200.0
5988,Hosakerehalli,1 Bedroom,1200.0,1.0,0.0,150.0
5989,Jigani,4 Bedroom,2420.0,4.0,1.0,190.0
5990,Thubarahalli,2 BHK,1216.0,2.0,1.0,80.0
5991,Tumkur Road,3 BHK,1459.0,2.0,1.0,110.0
5992,Jakkur,3 BHK,1622.0,2.0,0.0,80.0
5993,Kanakpura Road,3 BHK,1843.0,3.0,2.0,85.0
5994,Badavala Nagar,2 BHK,1274.0,2.0,1.0,81.0
5995,Chikkasandra,2 Bedroom,600.0,1.0,1.0,52.0
5996,Malleshpalya,3 BHK,1430.0,2.0,1.0,69.5
5997,Kammanahalli,4 Bedroom,1800.0,2.0,0.0,280.0
5998,Begur Road,3 BHK,1565.0,2.0,2.0,57.91
5999, Devarabeesana Halli,3 BHK,1670.0,3.0,2.0,160.0
6000,Lakshminarayana Pura,3 BHK,1695.0,3.0,2.0,150.0
6001,Akshayanagara West,2 BHK,1410.0,2.0,2.0,75.0
6002,Kengeri Satellite Town,2 BHK,1060.0,2.0,3.0,42.0
6003,Sarjapur  Road,2 BHK,1120.0,2.0,2.0,50.0
6004,Hosa Road,2 Bedroom,880.0,2.0,0.0,50.0
6005,Jalahalli,2 BHK,1083.0,2.0,1.0,32.49
6006,Dodda Nekkundi,3 BHK,1435.0,3.0,3.0,57.2
6007,Doddakallasandra,3 BHK,1425.0,2.0,2.0,56.99
6008,Arekere,2 BHK,900.0,2.0,3.0,50.0
6009,Escorts Colony,5 BHK,2400.0,5.0,2.0,93.0
6010,Thanisandra,1 BHK,693.0,1.0,1.0,34.3
6011,Kengeri,3 Bedroom,600.0,3.0,1.0,90.0
6012,Electronic City,4 BHK,2435.0,4.0,3.0,119.0
6013,Iblur Village,3 BHK,1920.0,3.0,2.0,150.0
6014,Electronic City,1 BHK,630.0,1.0,1.0,47.0
6015,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,50.0
6016,Hulimavu,5 Bedroom,1200.0,5.0,0.0,101.0
6017,Nagavarapalya,1 BHK,705.0,1.0,1.0,55.0
6018,Srinivasa Nagar,3 BHK,1200.0,2.0,2.0,75.6
6019,Mahadevpura,2 BHK,1532.0,2.0,2.0,62.0
6020,Rajiv Nagar,2 BHK,1330.0,2.0,1.0,93.0
6021,3rd Block Hrbr Layout,4 Bedroom,1200.0,3.0,1.0,210.0
6022,Sarjapur  Road,3 BHK,1530.0,2.0,2.0,60.0
6023,Kasavanhalli,2 BHK,1105.0,2.0,2.0,42.0
6024,1st Phase JP Nagar,2 Bedroom,1566.0,2.0,0.0,180.0
6025,Harlur,3 BHK,1630.0,3.0,1.0,95.1
6026,5th Phase JP Nagar,2 BHK,1256.0,2.0,1.0,62.8
6027,Banashankari,6 BHK,1200.0,6.0,2.0,180.0
6028,Brookefield,3 BHK,1595.0,2.0,3.0,75.0
6029,7th Phase JP Nagar,2 BHK,1000.0,2.0,2.0,53.0
6030,Poorna Pragna Layout,3 BHK,1475.0,2.0,2.0,58.99
6031,"asha township, off hennur road",5 Bedroom,2400.0,5.0,3.0,285.0
6032,Electronic City Phase II,2 BHK,1000.0,2.0,1.0,28.88
6033,1A Block Koramangala,4 Bedroom,2360.0,4.0,1.0,650.0
6034,Uttarahalli,3 BHK,1737.0,2.0,3.0,95.0
6035,Electronic City Phase II,2 BHK,1000.0,2.0,1.0,28.88
6036,Near International Airport,4 BHK,2100.0,4.0,2.0,150.0
6037,Hosakerehalli,8 Bedroom,3600.0,6.0,1.0,145.0
6038,Mysore Road,2 BHK,883.0,2.0,1.0,50.0
6039,Haralur Road,2 BHK,1243.0,2.0,2.0,46.0
6040,BTM Layout,3 BHK,1776.0,2.0,3.0,75.0
6041,Anjanapura,3 BHK,1347.0,2.0,1.0,37.72
6042,Whitefield,3 BHK,1330.0,2.0,2.0,55.0
6043,Sector 1 HSR Layout,2 Bedroom,600.0,2.0,1.0,120.0
6044,Rajaji Nagar,4 BHK,3730.0,4.0,3.0,370.0
6045,Harlur,3 BHK,1459.0,3.0,2.0,135.0
6046,Thanisandra,4 BHK,2259.0,5.0,2.0,135.0
6047,JP Nagar,7 Bedroom,2700.0,4.0,1.0,160.0
6048,Gubbalala,2 BHK,1008.0,2.0,2.0,32.25
6049,NTI Layout,2 BHK,1200.0,2.0,2.0,52.5
6050,Vasanth nagar,4 BHK,2328.0,4.0,1.0,528.0
6051,BTM 1st Stage,7 Bedroom,600.0,7.0,3.0,110.0
6052,Electronic City,2 BHK,660.0,1.0,1.0,15.5
6053,Rajaji Nagar,3 BHK,1800.0,2.0,2.0,250.0
6054,Rajaji Nagar,4 BHK,3100.0,4.0,3.0,550.0
6055,Yelahanka,2 BHK,1180.0,2.0,0.0,50.58
6056,Yelahanka,1 BHK,602.0,1.0,1.0,26.0
6057,Marathahalli,3 BHK,1710.0,3.0,2.0,100.0
6058,JP Nagar,3 BHK,1500.0,2.0,3.0,82.0
6059,Glass Factory Layout,3 BHK,1539.0,3.0,2.0,60.0
6060,Fraser town,6 Bedroom,806.0,3.0,1.0,128.0
6061,Judicial Layout,3 BHK,1100.0,2.0,1.0,53.0
6062,Raja Rajeshwari Nagar,2 BHK,1151.0,2.0,1.0,49.0
6063,Dasappa Layout,2 BHK,920.0,2.0,1.0,46.0
6064,Kathriguppe,3 BHK,1350.0,3.0,3.0,78.3
6065,Bannerghatta Road,2 BHK,1200.0,2.0,2.0,65.0
6066,Thanisandra,2 BHK,1265.0,2.0,1.0,78.0
6067,Chelekare,8 Bedroom,600.0,6.0,2.0,60.0
6068,Sarjapur  Road,3 BHK,1700.0,3.0,2.0,93.5
6069,Ramamurthy Nagar,3 Bedroom,1600.0,3.0,0.0,75.0
6070,4th T block Jayanagar,4 Bedroom,1550.0,4.0,1.0,120.0
6071,R.T. Nagar,3 BHK,1560.0,3.0,3.0,125.0
6072,Horamavu Agara,6 Bedroom,1000.0,5.0,3.0,98.0
6073,Haralur Road,2 BHK,1243.0,2.0,2.0,46.0
6074,Raja Rajeshwari Nagar,4 Bedroom,1200.0,4.0,1.0,160.0
6075,Sarjapur  Road,3 BHK,1403.0,3.0,1.0,56.0
6076,Doddakallasandra,2 BHK,1010.0,2.0,1.0,40.39
6077,Tumkur Road,3 BHK,1416.0,3.0,1.0,94.0
6078,Kanakpura Road,2 BHK,1628.0,2.0,2.0,68.0
6079,Chamrajpet,4 Bedroom,1660.4,4.0,2.0,211.0
6080,7th Phase JP Nagar,3 BHK,1680.0,3.0,2.0,125.0
6081,Doddathoguru,3 BHK,1595.0,3.0,3.0,62.0
6082,Kanakpura Road,3 BHK,1507.0,2.0,3.0,95.0
6083,Frazer Town,3 BHK,2560.0,3.0,3.0,288.0
6084,Hennur Road,3 BHK,1949.0,3.0,1.0,133.0
6085,BTM 2nd Stage,2 Bedroom,800.0,2.0,1.0,175.0
6086,Electronic City Phase II,2 BHK,1000.0,2.0,1.0,28.88
6087,Sonam Layout,2 BHK,905.0,2.0,1.0,50.0
6088,Hosakerehalli,3 BHK,2480.0,3.0,2.0,245.0
6089,CR Layout,3 BHK,1495.0,3.0,3.0,200.0
6090,Kaikondrahalli,3 BHK,1605.0,3.0,3.0,105.0
6091,Bommanahalli,2 BHK,1290.0,2.0,1.0,73.0
6092,Yelahanka,2 BHK,1100.0,2.0,1.0,60.0
6093,Vishveshwarya Layout,6 BHK,2100.0,6.0,0.0,92.0
6094,Electronics City Phase 1,2 BHK,995.0,2.0,1.0,49.8
6095,Banashankari Stage II,2 Bedroom,500.0,2.0,1.0,55.0
6096,Rajaji Nagar,4 BHK,3526.0,4.0,3.0,598.0
6097,Gottigere,3 BHK,1425.0,2.0,2.0,47.0
6098,BTM 4th Stage,3 BHK,1455.0,2.0,2.0,55.0
6099,Jalahalli West,1 BHK,550.0,1.0,1.0,23.0
6100,Uttarahalli,3 BHK,1385.0,2.0,2.0,48.48
6101,Vishveshwarya Layout,4 Bedroom,7000.0,4.0,3.0,210.0
6102,Srinivasa Nagar,5 BHK,4000.0,3.0,0.0,130.0
6103,Gollahalli,2 BHK,1060.0,2.0,1.0,53.0
6104,AGS Layout,3 BHK,1080.0,2.0,2.0,75.0
6105,HBR Layout,3 BHK,1783.0,3.0,2.0,125.0
6106,Haralur Road,3 BHK,1520.0,2.0,2.0,90.0
6107,Sarjapur  Road,2 BHK,1060.0,2.0,1.0,55.0
6108,Raja Rajeshwari Nagar,2 BHK,1267.0,2.0,1.0,54.35
6109,Whitefield,2 BHK,1155.0,2.0,2.0,55.0
6110,Karuna Nagar,3 Bedroom,2500.0,3.0,2.0,180.0
6111,Bannerghatta Road,2 BHK,1240.0,2.0,1.0,65.0
6112,Gollahalli,3 BHK,1570.0,3.0,2.0,78.0
6113,NGR Layout,2 BHK,1019.0,2.0,1.0,45.9
6114,Whitefield,2 BHK,1355.0,3.0,3.0,76.0
6115,Arekempanahalli,3 BHK,1537.0,3.0,2.0,110.0
6116,Whitefield,4 BHK,4075.0,5.0,3.0,226.0
6117,Raja Rajeshwari Nagar,3 BHK,1550.0,3.0,3.0,52.45
6118,Raja Rajeshwari Nagar,2 BHK,1100.0,2.0,1.0,50.0
6119, Devarabeesana Halli,3 BHK,1750.0,3.0,2.0,150.0
6120,9th Phase JP Nagar,2 BHK,1466.0,2.0,2.0,71.0
6121,Rachenahalli,3 BHK,1550.0,3.0,2.0,72.5
6122,Akshaya Nagar,3 BHK,2300.0,4.0,3.0,102.0
6123,Kengeri,1 BHK,540.0,1.0,1.0,22.5
6124,8th Phase JP Nagar,3 Bedroom,950.0,3.0,2.0,130.0
6125,Chamundi Nagar,7 Bedroom,2800.0,7.0,1.0,250.0
6126,Silk Board,2 BHK,1020.0,2.0,3.0,48.0
6127,Cunningham Road,3 BHK,2880.0,3.0,2.0,501.0
6128,Hebbal,3 BHK,1987.0,4.0,2.0,165.0
6129,Hoodi,2 BHK,1305.0,2.0,1.0,75.0
6130,Sarjapur,4 Bedroom,2100.0,3.0,1.0,125.0
6131,Electronic City,2 BHK,1125.0,2.0,1.0,32.5
6132,Horamavu Banaswadi,2 BHK,1225.0,2.0,2.0,49.5
6133,Hennur,2 BHK,1255.0,2.0,1.0,55.5
6134,MRCR Layout,2 BHK,1191.0,2.0,1.0,90.0
6135,Uttarahalli,6 Bedroom,3600.0,6.0,2.0,303.0
6136,Electronic City,2 BHK,1165.0,2.0,1.0,33.64
6137,Kacharakanahalli,2 BHK,865.0,2.0,1.0,35.11
6138,Nagarbhavi,3 BHK,1850.0,2.0,2.0,88.0
6139,Marsur,2 BHK,497.0,1.0,1.0,17.0
6140,Hennur Road,2 BHK,1232.0,2.0,2.0,89.0
6141,Thanisandra,3 BHK,1732.0,3.0,3.0,85.73
6142,Yelahanka,3 BHK,1614.0,2.0,1.0,100.0
6143,Magadi Road,2 BHK,600.0,1.0,1.0,22.0
6144,Thigalarapalya,3 BHK,2072.0,4.0,2.0,155.0
6145,Electronic City,2 BHK,919.0,2.0,2.0,34.0
6146,Shettihalli,4 Bedroom,2100.0,4.0,1.0,90.0
6147,Shampura,4 BHK,672.0,3.0,1.0,54.0
6148,J C Nagar,8 BHK,800.0,6.0,3.0,110.0
6149,Marsur,3 Bedroom,1200.0,3.0,1.0,150.0
6150,OLd Gurappanapalya,4 BHK,2849.0,5.0,3.0,250.0
6151,Doctors Layout,2 BHK,1000.0,2.0,2.0,42.0
6152,Whitefield,2 BHK,1216.0,2.0,1.0,75.0
6153,Lingadheeranahalli,4 BHK,2245.0,4.0,2.0,154.0
6154,Bannerghatta Road,3 BHK,1476.0,3.0,1.0,125.0
6155,Ambedkar Nagar,3 BHK,1852.0,3.0,2.0,130.0
6156,Udaya Nagar,2 BHK,1225.0,2.0,2.0,47.0
6157,Panathur,3 BHK,1597.0,3.0,1.0,67.12
6158,Jakkur,3 BHK,2423.0,4.0,3.0,160.0
6159,Marathahalli,2 BHK,1152.0,2.0,1.0,90.0
6160,Harlur,3 BHK,1762.0,3.0,2.0,133.0
6161,Kammasandra,3 Bedroom,1400.0,3.0,2.0,92.0
6162,Rachenahalli,3 BHK,1530.0,2.0,2.0,74.4
6163,New Thippasandra,6 Bedroom,2400.0,6.0,3.0,400.0
6164,Raja Rajeshwari Nagar,2 BHK,1185.0,2.0,2.0,40.17
6165,Yelahanka,3 BHK,1890.0,3.0,2.0,108.0
6166,Varthur Road,3 BHK,1247.0,2.0,2.0,58.0
6167,1st Block Jayanagar,8 Bedroom,700.0,4.0,3.0,104.0
6168,HRBR Layout,6 Bedroom,1000.0,6.0,3.0,275.0
6169,Bellandur,2 BHK,1201.0,2.0,2.0,59.99
6170,Gunjur Palya,2 BHK,830.0,2.0,2.0,40.0
6171,Electronic City Phase II,2 BHK,1165.0,2.0,1.0,30.29
6172,Bommanahalli,2 BHK,1100.0,1.0,2.0,55.0
6173,9th Phase JP Nagar,3 BHK,1890.0,2.0,3.0,93.0
6174,Maithri Layout,3 BHK,1685.0,3.0,2.0,60.0
6175,Sarakki Nagar,4 BHK,3131.0,4.0,3.0,349.0
6176,Battarahalli,2 BHK,1165.0,2.0,1.0,43.0
6177,Kachanayakanahalli,2 BHK,827.0,2.0,1.0,45.0
6178,Gangondanahalli,3 Bedroom,396.0,2.0,0.0,48.0
6179,Uttarahalli,4 Bedroom,1200.0,4.0,3.0,179.0
6180,Electronics City Phase 1,1 BHK,635.0,1.0,0.0,26.0
6181,Whitefield,4 Bedroom,4000.0,4.0,3.0,380.0
6182,Vishwanatha Nagenahalli,2 BHK,1050.0,2.0,1.0,50.0
6183,D Group Employees Layout,5 Bedroom,600.0,4.0,3.0,76.0
6184,Jakkur,3 BHK,1819.18,3.0,2.0,168.0
6185,Kanakapura,3 Bedroom,1500.0,3.0,3.0,125.0
6186,Yelenahalli,3 BHK,1500.0,2.0,2.0,57.0
6187,Benson Town,3 BHK,2850.0,4.0,3.0,470.0
6188,Raja Rajeshwari Nagar,3 BHK,1751.0,3.0,3.0,72.0
6189,Vasanth nagar,4 BHK,4750.0,6.0,1.0,1102.0
6190,Bommasandra,2 BHK,1020.0,2.0,1.0,40.89
6191,Thanisandra,2 BHK,1148.0,2.0,1.0,43.5
6192,Talaghattapura,3 BHK,1856.0,3.0,2.0,135.0
6193,Basavangudi,6 Bedroom,1754.0,6.0,2.0,650.0
6194,2nd Block Hrbr Layout,3 Bedroom,4273.0,3.0,3.0,1100.0
6195,B Narayanapura,2 BHK,1060.0,2.0,1.0,49.27
6196,Haralur Road,2 BHK,1300.0,2.0,2.0,60.0
6197,Hormavu,4 Bedroom,3000.0,4.0,0.0,100.0
6198,Bellandur,2 BHK,1325.0,2.0,2.0,65.0
6199,Sai Gardens,2 BHK,1261.0,2.0,2.0,61.0
6200,Manayata Tech Park,2 BHK,1100.0,2.0,2.0,46.0
6201,Ramamurthy Nagar,2 BHK,700.0,2.0,1.0,33.0
6202,7th Phase JP Nagar,3 BHK,1675.0,2.0,2.0,135.0
6203,Ullal Road,4 Bedroom,3400.0,4.0,2.0,190.0
6204,Kodihalli,4 BHK,3260.0,5.0,3.0,388.0
6205,Doddakammanahalli,2 BHK,1180.0,2.0,2.0,56.0
6206,Uttarahalli,2 BHK,1160.0,2.0,2.0,45.0
6207,Kasavanhalli,4 BHK,1863.0,3.0,2.0,105.0
6208,Sahakara Nagar,3 BHK,1914.0,3.0,2.0,149.0
6209,BTM Layout,3 BHK,1458.0,3.0,2.0,79.0
6210,Thirumenahalli,5 Bedroom,1200.0,4.0,2.0,115.0
6211,Babusapalaya,2 BHK,1105.0,2.0,1.0,40.0
6212,Hulimavu,3 BHK,3035.0,5.0,3.0,220.0
6213,Bannerghatta Road,6 Bedroom,1200.0,6.0,3.0,160.0
6214,Akshaya Nagar,3 BHK,1662.0,3.0,0.0,90.0
6215,Yelahanka,3 BHK,1556.0,3.0,2.0,86.0
6216,Jigani,2 BHK,918.0,2.0,2.0,50.0
6217,Sarjapur  Road,3 BHK,1455.0,2.0,1.0,98.0
6218,Jakkasandra Extension,2 BHK,1205.0,2.0,1.0,70.0
6219,BEML Layout,2 BHK,1194.0,2.0,1.0,65.0
6220,Laggere,2 Bedroom,1200.0,2.0,0.0,75.0
6221,Bannerghatta Road,3 BHK,1100.0,2.0,2.0,52.0
6222,Sarjapur  Road,3 BHK,1405.0,3.0,2.0,48.87
6223,Subramanyapura,2 BHK,929.0,2.0,1.0,56.0
6224,Frazer Town,4 BHK,3436.0,5.0,0.0,341.0
6225,7th Phase JP Nagar,2 BHK,1035.0,2.0,1.0,39.33
6226,8th Phase JP Nagar,4 BHK,2100.0,4.0,3.0,92.0
6227,Channasandra,2 BHK,1065.0,2.0,1.0,40.47
6228,Bannerghatta Road,3 BHK,1365.0,3.0,0.0,84.29
6229,Kengeri,6 Bedroom,1500.0,6.0,3.0,150.0
6230,Hullahalli,5 Bedroom,1200.0,5.0,2.0,99.0
6231,Hormavu,2 BHK,1093.0,2.0,1.0,32.78
6232,Anandapura,2 BHK,1250.0,2.0,2.0,45.0
6233,Marathahalli,3 BHK,1680.0,3.0,3.0,105.0
6234,Nagarbhavi,2 BHK,1146.0,2.0,1.0,50.0
6235,Jagajyothi layout,2 BHK,1250.0,2.0,3.0,58.0
6236,Ramagondanahalli,3 BHK,1451.0,3.0,1.0,60.44
6237,Nobo Nagar,3 BHK,1424.0,2.0,3.0,55.0
6238,Gottigere,3 BHK,1435.0,2.0,3.0,62.0
6239,Devanahalli,1 BHK,658.0,1.0,0.0,26.91
6240,Bommanahalli,3 BHK,1300.0,3.0,2.0,45.0
6241,Whitefield,2 BHK,1242.0,2.0,2.0,65.0
6242,Marathahalli,3 BHK,1910.0,3.0,3.0,119.0
6243,Yelahanka,3 BHK,1610.0,4.0,2.0,85.0
6244,Hulimavu,2 BHK,1127.0,2.0,1.0,65.0
6245,Yelahanka,3 BHK,1075.0,2.0,1.0,42.0
6246,Mysore Road,2 BHK,1155.0,2.0,1.0,51.0
6247,Lakkasandra Extension,5 Bedroom,1280.0,3.0,1.0,250.0
6248,Krishna Reddy Layout,3 BHK,1250.0,3.0,1.0,55.0
6249,Kuvempu Layout,3 Bedroom,2200.0,4.0,2.0,160.0
6250,Billekahalli,3 Bedroom,2400.0,3.0,1.0,150.0
6251,Chandapura,2 BHK,876.0,2.0,2.0,29.5
6252,Nagarbhavi,3 BHK,1850.0,2.0,2.0,89.0
6253,Kadugodi,2 BHK,1314.0,2.0,3.0,83.0
6254,Rachenahalli,1 BHK,690.0,1.0,1.0,39.8
6255,Electronic City Phase II,4 Bedroom,3500.0,788.0,0.0,167.5
6256,Srirampura,2 BHK,1230.0,2.0,3.0,55.0
6257,Bommasandra,2 BHK,920.0,2.0,1.0,37.2
6258,Sarjapur  Road,3 BHK,1850.0,3.0,3.0,140.0
6259,Electronic City,2 BHK,1073.0,2.0,2.0,60.0
6260,Maithri Layout,3 BHK,1540.0,3.0,3.0,76.0
6261,Kanakpura Road,3 BHK,1550.0,3.0,3.0,63.5
6262,Kalyan nagar,2 BHK,1198.0,2.0,1.0,65.0
6263,HBR Layout,3 BHK,1656.0,3.0,2.0,90.0
6264,Kaveri Nagar,3 BHK,1900.0,3.0,3.0,155.0
6265,Ramagondanahalli,3 BHK,1910.0,3.0,2.0,142.0
6266,Mysore Road,2 BHK,1003.0,2.0,1.0,43.0
6267,Chickpet,2 BHK,122.0,2.0,0.0,48.0
6268,Whitefield,3 BHK,1495.0,2.0,0.0,67.0
6269,Thanisandra,3 BHK,2172.0,3.0,2.0,76.02
6270,Sarakki Nagar,4 Bedroom,2400.0,4.0,2.0,358.0
6271,T G extension,2 Bedroom,1200.0,1.0,2.0,95.0
6272,Whitefield,3 BHK,1548.0,3.0,1.0,65.0
6273,2nd Block Koramangala,7 Bedroom,5400.0,5.0,0.0,972.0
6274,Whitefield,4 BHK,2830.0,5.0,0.0,154.5
6275,Hosur Road,3 BHK,1689.0,3.0,1.0,103.0
6276,Electronic City Phase II,2 BHK,1031.0,2.0,1.0,53.0
6277,Bhoganhalli,4 BHK,2119.0,4.0,2.0,111.0
6278,Whitefield,2 Bedroom,1200.0,2.0,2.0,46.13
6279,JCR Layout,2 BHK,1060.0,2.0,2.0,37.0
6280,Devi Nagar,2 BHK,1100.0,2.0,1.0,61.0
6281,GKW Layout,4 Bedroom,1350.0,4.0,2.0,225.0
6282,Gandhi Nagar,5 Bedroom,1050.0,4.0,1.0,80.0
6283,Hennur Road,3 BHK,1250.0,2.0,1.0,77.88
6284,8th Block Jayanagar,2 BHK,1100.0,2.0,2.0,110.0
6285,Whitefield,2 Bedroom,1200.0,2.0,1.0,46.13
6286,Seegehalli,3 BHK,1420.0,2.0,2.0,46.0
6287,Electronic City,3 BHK,1500.0,2.0,1.0,78.0
6288,OLd Gurappanapalya,3 BHK,1942.0,3.0,1.0,155.0
6289,Haralur Road,3 BHK,1985.0,3.0,2.0,130.0
6290,Sarjapur  Road,1 BHK,950.0,1.0,0.0,39.9
